                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.78003,                 1.3733,                 1.1469,                 1.2586,                0.59849,                0.65511,                0.62518,                0.47909,                0.58951,                0.64123,                0.60756,                0.47224,                0.75789,                 1.5307,                 1.0963,                 1.3033,             0.00085604,             0.00085604,             0.00085604
                     84,                 0.7941,                  1.366,                 1.1596,                 1.2665,                0.55349,                0.71588,                0.63868,                0.48764,                0.53437,                0.69271,                0.61383,                0.47715,                0.75206,                 1.5777,                 1.0982,                 1.2888,             0.00084897,             0.00084897,             0.00084897
                     85,                0.76769,                 1.4124,                 1.1336,                 1.2489,                0.57598,                0.68999,                0.65416,                0.50052,                0.54733,                0.68277,                0.62462,                0.48098,                0.72001,                 1.5918,                 1.0772,                 1.2748,              0.0008419,              0.0008419,              0.0008419
                     86,                0.79264,                 1.3571,                 1.1487,                 1.2734,                0.58498,                0.66105,                0.62134,                0.48816,                0.56507,                0.63481,                0.59741,                 0.4651,                0.71222,                 1.5521,                   1.06,                  1.279,             0.00083482,             0.00083482,             0.00083482
                     87,                0.77669,                  1.343,                 1.1496,                  1.248,                0.64261,                0.64709,                 0.6666,                0.51928,                0.62931,                0.63195,                0.64329,                0.50425,                0.70885,                 1.5324,                 1.0575,                 1.2566,             0.00082775,             0.00082775,             0.00082775
                     88,                0.74652,                 1.3418,                 1.1139,                 1.2294,                0.64217,                0.65339,                0.64323,                0.51162,                0.64077,                0.63958,                0.63219,                0.49632,                0.70784,                 1.5848,                 1.0192,                 1.2572,             0.00082067,             0.00082067,             0.00082067
                     89,                0.79347,                 1.3895,                  1.161,                 1.2675,                0.57735,                 0.6342,                0.61517,                0.46483,                0.56207,                0.61862,                0.58402,                0.44983,                0.77099,                 1.6241,                 1.1332,                 1.3061,              0.0008136,              0.0008136,              0.0008136
                     90,                0.76815,                 1.3036,                 1.1336,                 1.2436,                0.57067,                0.72847,                0.64644,                0.50428,                0.55273,                0.70396,                 0.6129,                0.48355,                0.71958,                 1.6399,                 1.0424,                 1.2818,             0.00080653,             0.00080653,             0.00080653
                     91,                0.77086,                 1.3372,                 1.1426,                 1.2529,                0.60812,                0.68909,                0.65235,                 0.4912,                0.59656,                0.66688,                0.61394,                0.47125,                0.74398,                 1.6277,                 1.0786,                 1.2819,             0.00079945,             0.00079945,             0.00079945
                     92,                0.74672,                 1.2974,                  1.118,                 1.2248,                0.58242,                0.68903,                0.65541,                0.51281,                0.56803,                0.66611,                0.62358,                 0.4939,                0.73072,                  1.512,                  1.081,                 1.2828,             0.00079238,             0.00079238,             0.00079238
                     93,                0.74512,                 1.2845,                 1.1282,                 1.2337,                0.57583,                0.69663,                0.63913,                0.48471,                0.58325,                0.64727,                0.61587,                 0.4757,                 0.7411,                 1.6443,                 1.0633,                 1.2804,             0.00078531,             0.00078531,             0.00078531
                     94,                0.74027,                 1.3072,                 1.1009,                 1.2293,                0.55506,                0.72941,                0.64979,                  0.522,                  0.595,                0.64217,                0.63494,                0.50698,                0.69653,                 1.5996,                  1.061,                 1.2561,             0.00077823,             0.00077823,             0.00077823
                     95,                 0.7714,                 1.3274,                 1.1194,                 1.2625,                0.59747,                0.64438,                0.65379,                0.51378,                0.53311,                0.69351,                0.62023,                  0.493,                0.70246,                 1.6249,                 1.0302,                 1.2678,             0.00077116,             0.00077116,             0.00077116
                     96,                0.76247,                  1.302,                 1.0916,                 1.2386,                0.55438,                0.72212,                0.62162,                0.48149,                0.53268,                0.69518,                0.59114,                0.46414,                 0.7114,                 1.5806,                 1.1452,                 1.2577,             0.00076409,             0.00076409,             0.00076409
                     97,                0.75195,                  1.308,                 1.0967,                 1.2286,                0.56303,                0.68782,                0.62545,                0.49118,                0.52849,                0.67391,                0.59859,                0.47162,                0.71757,                 1.6251,                 1.0644,                 1.2642,             0.00075701,             0.00075701,             0.00075701
                     98,                0.75078,                 1.2981,                 1.0892,                  1.237,                0.61452,                0.66516,                0.64547,                 0.5001,                0.59822,                0.64239,                0.61856,                0.48435,                0.72837,                 1.5164,                  1.065,                 1.2766,             0.00074994,             0.00074994,             0.00074994
                     99,                0.75376,                 1.3127,                 1.1018,                 1.2286,                0.62188,                0.63517,                0.63287,                0.48942,                0.60788,                0.61664,                0.60684,                0.47564,                0.71328,                 1.5904,                 1.0509,                 1.2654,             0.00074287,             0.00074287,             0.00074287
                    100,                0.76954,                 1.3732,                 1.1203,                 1.2534,                0.57651,                0.74587,                0.66811,                0.52116,                0.55417,                0.71957,                0.62961,                0.50081,                0.68556,                  1.585,                0.99336,                 1.2435,             0.00073579,             0.00073579,             0.00073579
